page	legacy_url	storage_key	size_bytes	sha256	mime_type
/articles	https://beta.samaneyoga.ir/images/open-graph/articles.png	images/open-graph/articles.png	393369	71288d69e2911fb2aef67ba906d509fefcb4da554057d416ec83ca9789f25ac1	image/png
/contact-us	https://beta.samaneyoga.ir/images/open-graph/contact-us.png	images/open-graph/contact-us.png	393369	71288d69e2911fb2aef67ba906d509fefcb4da554057d416ec83ca9789f25ac1	image/png
/courses	https://beta.samaneyoga.ir/images/open-graph/courses.png	images/open-graph/courses.png	393369	71288d69e2911fb2aef67ba906d509fefcb4da554057d416ec83ca9789f25ac1	image/png
dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/dore-jame-yoga.jpg	images/open-graph/dore-jame-yoga.jpg	345795	068d6af4f210ac2375e0f1817c71dba55a9615a8450ef49fd89c4aee682ffe18	image/jpeg
general	https://beta.samaneyoga.ir/images/open-graph/general.jpg	images/open-graph/general.jpg	500180	7196c80095e57adaaffab779e779376e1a6953708f6bef5f3ecc231b0de5588c	image/jpeg
Meditation	https://beta.samaneyoga.ir/images/open-graph/Meditation.jpg	images/open-graph/Meditation.jpg	138218	1a98275fa19c328434ca89e730eb846c26503c5c5a2c3a797f3ebb46873318d6	image/jpeg
meditation-for-beginners	https://beta.samaneyoga.ir/images/open-graph/meditation-for-beginners.png	images/open-graph/meditation-for-beginners.png	2194942	be52ffd1a2c448618c101136f59062b0c33b64f8afb041791e6a1e6424a46d3f	image/png
/shop/products	https://beta.samaneyoga.ir/images/open-graph/shop-products.png	images/open-graph/shop-products.png	2038465	5d1e49a3a104d9b3c0515ca8e174636aeeb1abf0cce66bf18f60fb762785fe3e	image/png
tabdil-saye-be-noor	https://beta.samaneyoga.ir/images/open-graph/tabdil-saye-be-noor.jpg	images/open-graph/tabdil-saye-be-noor.jpg	2057371	daab60f40a6375cd4ae47e97f8f034a4a768bd3d8334d6570d662b71e93fa1df	image/jpeg
term-avval-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-avval-dore-jame-yoga.jpg	images/open-graph/term-avval-dore-jame-yoga.jpg	82634	d4e08dc035a929342f72db14c844656cd603aee1eea4efb4a824f79160fd4f70	image/jpeg
term-chaharom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-chaharom-dore-jame-yoga.jpg	images/open-graph/term-chaharom-dore-jame-yoga.jpg	92787	e60edd2de3bc67d7ec9f8839ca1f8df9eb3450ac4eef3596640b04b74f54a2c1	image/jpeg
term-dahom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-dahom-dore-jame-yoga.jpg	images/open-graph/term-dahom-dore-jame-yoga.jpg	190661	2ff7f4721bad74fd2c0c31284812c67b498ec61c5ccd6ec42b53235fe2d6eb80	image/jpeg
term-dovom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-dovom-dore-jame-yoga.jpg	images/open-graph/term-dovom-dore-jame-yoga.jpg	71475	5e372c00ed739eb3aeb3a2b6bf85e50290ea725ea4204b77e05cae2146b3d07a	image/jpeg
term-haftom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-haftom-dore-jame-yoga.jpg	images/open-graph/term-haftom-dore-jame-yoga.jpg	63561	09029401a0f13a56cb9bdeff1c8edd101453d388f4e095f763bd3bffeb3a96d2	image/jpeg
term-hashtom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-hashtom-dore-jame-yoga.jpg	images/open-graph/term-hashtom-dore-jame-yoga.jpg	172373	c266d7d49e5e716696e90e13b2557430d49fdd6dfef54e31ec71fc423b096f5a	image/jpeg
term-nohom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-nohom-dore-jame-yoga.jpg	images/open-graph/term-nohom-dore-jame-yoga.jpg	163559	5b1fcdf4f53eedee309894517139dee08cab66230ccd94728112fd2e2fb189c0	image/jpeg
term-panjom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-panjom-dore-jame-yoga.jpg	images/open-graph/term-panjom-dore-jame-yoga.jpg	96212	71e2398f1745dbc3c3151b4bcb2ddf090ae5fa8cbca1d8ff1f1d1f2731fdc49c	image/jpeg
term-sevom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-sevom-dore-jame-yoga.jpg	images/open-graph/term-sevom-dore-jame-yoga.jpg	107138	d7255141c71f28d7fc927dccea6a6b2271a262af63c43d9a7d9fadfc2552aa40	image/jpeg
term-sheshom-dore-jame-yoga	https://beta.samaneyoga.ir/images/open-graph/term-sheshom-dore-jame-yoga.jpg	images/open-graph/term-sheshom-dore-jame-yoga.jpg	118594	afd75ed1d5dedcaa35e4634a93f8e50f7f999341ea885050f899e782834e11cb	image/jpeg
yoga-baraye-kahesh-estres	https://beta.samaneyoga.ir/images/open-graph/yoga-baraye-kahesh-estres.png	images/open-graph/yoga-baraye-kahesh-estres.png	2572600	30d17ae54c84cf521942943fa91df6e988ae2677ab035be099817871d1dcf3bf	image/png
yoga-darmani	https://beta.samaneyoga.ir/images/open-graph/yoga-darmani.jpg	images/open-graph/yoga-darmani.jpg	133542	b4c98005a369f7c2e4f6d6aa186768189e0411c616695fb6a8173ddff9589c1a	image/jpeg
